FIPS,year,deaths,population,crude_rate,was_suppressed,yoy_pct_change,spike,svi_unemp_rate,svi_no_hs_diploma,svi_uninsured,svi_age65_plus,svi_age17_under,svi_disabled,svi_single_parent,svi_minority,svi_limited_english,svi_multi_unit,svi_mobile_homes,svi_crowded_housing,svi_no_vehicle,svi_group_quarters,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,svi_poverty_rate,svi_housing_burden,acs_poverty_rate,acs_unemp_rate,acs_median_income,violence_level
51036,2021,5.0,6594.0,75.82650894752805,1,3.4425235062177713,0,3.1,18.5,7.9,24.9,15.1,19.0,2.0,57.2,0.2,1.2,12.8,1.1,5.9,0.0,0.4357,0.147,0.9099,0.113,0.2826,19.7,22.7,12.338235294117649,3.3539276257722856,59543.0,high
51036,2023,5.0,6610.0,75.642965204236,1,-0.2420574886535536,0,3.1,18.5,7.9,24.9,15.1,19.0,2.0,57.2,0.2,1.2,12.8,1.1,5.9,0.0,0.4357,0.147,0.9099,0.113,0.2826,19.7,22.7,11.419984973703984,4.910456383593298,70339.0,high
51037,2019,5.0,11880.0,42.08754208754208,1,0.488215488215487,0,5.8,16.1,13.6,21.5,21.5,21.0,8.2,32.3,0.1,1.6,20.9,0.1,9.1,1.3,0.8137,0.8631,0.3849,0.3524,0.7057,24.1,22.4,23.70985509702567,5.978766995716148,40573.0,high
51037,2020,5.0,11820.0,42.30118443316413,1,0.5076142131979702,0,5.5,16.1,11.8,22.1,22.1,20.3,7.1,32.1,0.1,1.5,24.4,1.3,9.2,1.3,0.8285,0.7944,0.7066,0.5334,0.7966,33.2,22.7,24.07677148487705,5.49600467745079,40924.0,high
51037,2021,5.0,11448.0,43.67575122292104,1,3.2494758909853405,0,5.5,16.1,11.8,22.1,22.1,20.3,7.1,32.1,0.1,1.5,24.4,1.3,9.2,1.3,0.8285,0.7944,0.7066,0.5334,0.7966,33.2,22.7,19.137703475582928,4.113215231113826,45567.0,high
51037,2022,5.0,11475.0,43.57298474945534,1,-0.2352941176470654,0,5.5,16.1,11.8,22.1,22.1,20.3,7.1,32.1,0.1,1.5,24.4,1.3,9.2,1.3,0.8285,0.7944,0.7066,0.5334,0.7966,33.2,22.7,20.31387762299418,3.6176772867420346,51548.0,high
51037,2023,5.0,11336.0,44.10726887791108,1,1.226182074805935,0,5.5,16.1,11.8,22.1,22.1,20.3,7.1,32.1,0.1,1.5,24.4,1.3,9.2,1.3,0.8285,0.7944,0.7066,0.5334,0.7966,33.2,22.7,24.577326926499374,2.336350242054304,48892.0,high
51041,2019,53.0,352802.0,15.022590574883363,0,37.79510737944856,1,4.9,7.9,7.6,13.9,24.1,10.5,9.2,37.7,2.4,8.1,1.3,1.4,3.0,1.1,0.1124,0.2378,0.8478,0.0898,0.1799,7.1,22.4,6.793882559520127,4.910448890474183,82599.0,low
51041,2020,56.0,358245.0,15.631760387444348,0,4.05502506058756,0,4.7,7.4,7.5,14.9,23.8,11.9,7.4,39.1,2.6,7.8,1.3,1.6,2.7,1.1,0.2231,0.6442,0.7842,0.106,0.2785,11.5,22.3,6.553391705899972,4.699990885256097,84645.0,low
51041,2021,75.0,370688.0,20.232648480662984,0,29.43294919562696,1,4.7,7.4,7.5,14.9,23.8,11.9,7.4,39.1,2.6,7.8,1.3,1.6,2.7,1.1,0.2231,0.6442,0.7842,0.106,0.2785,11.5,22.3,6.911319979050632,4.719793167666322,88315.0,low
51041,2022,45.0,378408.0,11.891926174922306,0,-41.22407560093867,0,4.7,7.4,7.5,14.9,23.8,11.9,7.4,39.1,2.6,7.8,1.3,1.6,2.7,1.1,0.2231,0.6442,0.7842,0.106,0.2785,11.5,22.3,6.691664981957457,4.730932983993123,95757.0,low
51041,2023,54.0,383876.0,14.067042482468295,0,18.29069803790808,0,4.7,7.4,7.5,14.9,23.8,11.9,7.4,39.1,2.6,7.8,1.3,1.6,2.7,1.1,0.2231,0.6442,0.7842,0.106,0.2785,11.5,22.3,6.8497412720246285,4.611338663603524,98910.0,low
51043,2020,5.0,14622.0,34.19504855696895,1,-0.6770619614280028,0,3.0,8.3,8.7,21.0,19.5,12.7,3.3,14.7,1.1,3.0,0.3,0.7,3.5,1.4,0.2094,0.1362,0.4478,0.0296,0.0859,11.0,23.4,6.042953396967995,2.953416565982011,86154.0,high
51043,2021,5.0,14881.0,33.59989248034407,1,-1.7404744304818045,0,3.0,8.3,8.7,21.0,19.5,12.7,3.3,14.7,1.1,3.0,0.3,0.7,3.5,1.4,0.2094,0.1362,0.4478,0.0296,0.0859,11.0,23.4,5.8159542982999515,3.7208074943924,86633.0,high
51043,2022,5.0,15266.0,32.7525219441897,1,-2.5219441897026207,0,3.0,8.3,8.7,21.0,19.5,12.7,3.3,14.7,1.1,3.0,0.3,0.7,3.5,1.4,0.2094,0.1362,0.4478,0.0296,0.0859,11.0,23.4,5.398563120082107,3.5094585779517287,107475.0,high
